Time (s),X (hPa)
-0.581290875,1004.212112
0.419284125,1004.215851
1.419865125,1004.219131
2.420441125,1004.219131
3.421015125,1004.217377
4.421592125,1004.217377
4.972539125,1004.217606
5.973116125,1004.217758
6.973692125,1004.217682
7.974270125,1004.217682
8.974844125,1004.216995
9.975422125,1004.215622
10.97599612,1004.213715
11.97657513,1004.210815
12.97715313,1004.207993
13.97772712,1004.202652
14.97830113,1004.198227
15.97888012,1004.195023
16.97945612,1004.194717
17.98003313,1004.194717
18.98061012,1004.19838
19.98118413,1004.201355
20.98176113,1004.205322
21.98233712,1004.208374
22.98291613,1004.209518
23.98349012,1004.209518
24.98406912,1004.207764
25.98464513,1004.207153
26.98521912,1004.206848
27.98579812,1004.206238
28.98637313,1004.204254
29.98695112,1004.203949
30.98752613,1004.19487
31.98810012,1004.180908
32.98868012,1004.165802
33.98925313,1004.151001
34.98983112,1004.142456
35.99041112,1004.136963
36.99098513,1004.132538
37.99202212,1004.128494
38.99260813,1004.123764
39.99305913,1004.106827
40.99351712,1004.087296
41.99413113,1004.065933
42.99458012,1004.041443
43.99504413,1004.019318
44.99559812,1004.006882
45.99617112,1003.998566
46.99675012,1003.992844
47.99732712,1003.990936
48.99790413,1003.990555
49.99847812,1003.989563
50.99905912,1003.989563
51.99963213,1003.989563
53.00021012,1003.98674
54.00078613,1003.983231
55.00136112,1003.977966
56.00193613,1003.97049
57.00251313,1003.964844
58.00309213,1003.960724
59.00366313,1003.95134
60.00424012,1003.933868
61.00482413,1003.914871
62.00539413,1003.89534
63.00597313,1003.876038
64.00654812,1003.859634
65.00712112,1003.85437
66.00769912,1003.848724
67.00828012,1003.847198
68.00885413,1003.845444
69.00942912,1003.842468
70.01000812,1003.839722
71.01058112,1003.82637
72.01116413,1003.808441
73.01173313,1003.792038
74.01231313,1003.774338
75.01288812,1003.759308
76.01346313,1003.753662
77.01404212,1003.747025
78.01461713,1003.740387
79.01519413,1003.732834
80.01576912,1003.725204
81.01634912,1003.712616
82.01692212,1003.701935
83.01749812,1003.680878
84.01807413,1003.663864
85.01864912,1003.6483
86.01923112,1003.63884
87.01980212,1003.631592
88.02037613,1003.631134
89.02095613,1003.631134
90.02153413,1003.627014
91.02211112,1003.622055
92.02268613,1003.617706
93.02326212,1003.617325
94.02383713,1003.617096
95.02441613,1003.617096
96.02499413,1003.616257
97.02557212,1003.604431
98.02614313,1003.588943
99.02672413,1003.57132
100.0272971,1003.554688
101.0278731,1003.533173
102.0284481,1003.519135
103.0290271,1003.510666
104.0296061,1003.510666
105.0301791,1003.513641
106.0307541,1003.521576
107.0313321,1003.532639
108.0319091,1003.543777
109.0324851,1003.547821
110.0330621,1003.548355
111.0336401,1003.552704
112.0342151,1003.5569
113.0347881,1003.56308
114.0357101,1003.571243
115.0360461,1003.583069
116.0365151,1003.596268
117.0370951,1003.613815
118.0376701,1003.637924
119.0382471,1003.66806
120.0388241,1003.713913
121.0394001,1003.773499
122.0399801,1003.841095
123.0405531,1003.920135
124.0411291,1004.016037
125.0417061,1004.104309
126.0422801,1004.16275
127.0428591,1004.207993